	assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
10	In vitro inhibition of human liver microsome Cytochrome P450 3A4	O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccn3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL3706619	=	=	IC50	nM	5200.0	IC50	uM	5.2
11	Inhibition of cytochrome P450 3A4 enzyme	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2c[nH]c3ncnc-3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL352806	=	=	IC50	nM	4000.0	IC50	uM	4.0
12	Inhibition of cytochrome P450 3A4 enzyme; Range 1-2 uM	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2cccc3cnccc23)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL170159	=	=	IC50	nM	1000.0	IC50	uM	1.0
13	Inhibition of cytochrome P450 3A4 enzyme	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]c(C)nc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL349638	=	=	IC50	nM	5000.0	IC50	uM	5.0
14	Inhibition of cytochrome P450 3A4 enzyme	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]nnc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL168563	=	=	IC50	nM	7500.0	IC50	uM	7.5
15	Inhibition of cytochrome P450 3A4 enzyme	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]cnc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL168538	=	=	IC50	nM	100.0	IC50	nM	100.0
16	In vitro inhibition of human liver microsome Cytochrome P450 3A4	CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL3706620	=	=	IC50	nM	10.0	IC50	uM	0.01
17	Inhibition of cytochrome P450 3A4 enzyme; Range 1-2 uM	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3ncoc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL263004	=	=	IC50	nM	1000.0	IC50	uM	1.0
18	Inhibition of cytochrome P450 3A4 enzyme	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]c(C(F)(F)F)nc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL168726	>	>	IC50	nM	10000.0	IC50	uM	10.0
19	In vitro inhibition of human liver microsome Cytochrome P450 3A4	O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccncc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL114756	=	=	IC50	nM	320.0	IC50	uM	0.32
20	Inhibition of cytochrome P450 3A4 enzyme; Range 1-2 uM	Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3nsnc3c2)c1	Bioorg. Med. Chem. Lett.	2002.0	CHEMBL169620	=	=	IC50	nM	1000.0	IC50	uM	1.0
21	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10501	=	=	IC50	nM	5000.0	IC50	uM	5.0
22	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10532	=	=	IC50	nM	17000.0	IC50	uM	17.0
23	Inhibitory activity against CYP450 3A4 isozyme	CCCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL274551	=	=	IC50	nM	5000.0	IC50	uM	5.0
24	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Br)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10271	=	=	IC50	nM	39000.0	IC50	uM	39.0
25	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cl)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10769	=	=	IC50	nM	29000.0	IC50	uM	29.0
26	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c(C)c1C	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10759	=	=	IC50	nM	22000.0	IC50	uM	22.0
27	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(C)cc(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL268764	=	=	IC50	nM	22000.0	IC50	uM	22.0
28	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL204021	=	=	IC50	nM	27000.0	IC50	uM	27.0
29	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10921	=	=	IC50	nM	10000.0	IC50	uM	10.0
30	Inhibitory activity against CYP450 3A4 isozyme	CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(Cl)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL273503	=	=	IC50	nM	7000.0	IC50	uM	7.0
31	Inhibitory activity against CYP450 3A4 isozyme	CCc1cn(CC(=O)N(CCN(CC)CC)Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)c(SCc2ccc(F)cc2)nc1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10604	=	=	IC50	nM	11000.0	IC50	uM	11.0
32	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(SC)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10600	=	=	IC50	nM	15000.0	IC50	uM	15.0
33	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(C)c(=O)nc1SCc1ccc(F)cc1	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10440	=	=	IC50	nM	13000.0	IC50	uM	13.0
34	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10663	=	=	IC50	nM	18000.0	IC50	uM	18.0
35	Inhibitory activity against CYP450 3A4 isozyme	CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL10441	=	=	IC50	nM	10000.0	IC50	uM	10.0
36	Inhibition of heterologously expressed human Cytochrome P450 3A at 100 uM	CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2	J. Med. Chem.	1997.0	CHEMBL276140	>	>	IC50	nM	100000.0	IC50	uM	100.0
37	Inhibition of heterologously expressed human Cytochrome P450 3A at 1 uM	Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1	J. Med. Chem.	1997.0	CHEMBL297784	>	>	IC50	nM	100000.0	IC50	uM	100.0
38	Inhibition of heterologously expressed human Cytochrome P450 3A at 1 uM	Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2	J. Med. Chem.	1997.0	CHEMBL14563	>	>	IC50	nM	100000.0	IC50	uM	100.0
39	Inhibitory activity against cytochrome P450 3A4	COC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1	J. Med. Chem.	2004.0	CHEMBL27257	=	=	IC50	nM	2530.0	IC50	uM	2.53
40	Inhibition of cytochrome P450 3A4 of human liver microsomes	Cn1c2cc(Cl)ncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL26686			IC50	nM		IC50	uM	
41	Inhibitory activity against cytochrome P450 3A4	Cn1c2cccnc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL282365	=	=	IC50	nM	19300.0	IC50	uM	19.3
42	Inhibition of cytochrome P450 3A4 of human liver microsomes	COc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1	J. Med. Chem.	2004.0	CHEMBL431503			IC50	nM		IC50	uM	
43	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1	J. Med. Chem.	2004.0	CHEMBL29743	=	=	IC50	nM	5780.0	IC50	uM	5.78
44	Inhibitory activity against cytochrome P450 3A4	CN(C)c1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL26150	=	=	IC50	nM	26410.0	IC50	uM	26.41
45	Inhibition of cytochrome P450 3A4 of human liver microsomes	CC(=O)Nc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1	J. Med. Chem.	2004.0	CHEMBL287181			IC50	nM		IC50	uM	
46	Inhibition of cytochrome P450 3A4 of human liver microsomes	Fc1ccc(CCN2CCN(c3[nH]cnc4c5c(Cl)cccc5nc3-4)CC2)cc1F	J. Med. Chem.	2004.0	CHEMBL28584			IC50	nM		IC50	uM	
47	Inhibitory activity against cytochrome P450 3A4	CC(C)Oc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL283253	>	>	IC50	nM	100000.0	IC50	uM	100.0
48	Inhibition of Cytochrome P450 3A4 with testosterone	CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL332643	=	=	IC50	nM	2500.0	IC50	uM	2.5
49	Inhibition of Cytochrome P450 3A4 with midazolam (4-OH)	CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL332643	=	=	IC50	nM	1000.0	IC50	uM	1.0
50	Inhibition of Cytochrome P450 3A4 with midazolam (1'-OH)	CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL332643	=	=	IC50	nM	1100.0	IC50	uM	1.1
51	Inhibition of Cytochrome P450 3A4 with nifedipine	CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL332643	=	=	IC50	nM	4100.0	IC50	uM	4.1
52	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1	J. Med. Chem.	2004.0	CHEMBL283693	>	>	IC50	nM	100000.0	IC50	uM	100.0
53	Inhibition of cytochrome P450 3A4 of human liver microsomes	Cc1nc2c(c(C(N)=O)c1[N+](=O)[O-])c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL26779			IC50	nM		IC50	uM	
54	Binding affinity for Cytochrome P450 3A4; Range = 1-10 uM	OC1N=C(c2ccccc2F)c2cc(Cl)ccc2-n2cncc21	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL121550	=	=	IC50	nM	10000.0	IC50	uM	10.0
55	Inhibitory activity against cytochrome P450 3A4	NC(=O)c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	J. Med. Chem.	2004.0	CHEMBL283438	=	=	IC50	nM	1360.0	IC50	uM	1.36
56	Binding affinity for Cytochrome P450 3A4; Range = 1-10 uM	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL386630	=	=	IC50	nM	10000.0	IC50	uM	10.0
57	Inhibitory activity against cytochrome P450 3A4	Cn1c2cccc([N+](=O)[O-])c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL30052	>	>	IC50	nM	100000.0	IC50	uM	100.0
58	Inhibitory activity against cytochrome P450 3A4	COc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL284676	>	>	IC50	nM	100000.0	IC50	uM	100.0
59	Inhibitory activity against cytochrome P450 3A4	Cn1c2ccnc(Cl)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL27415	=	=	IC50	nM	9440.0	IC50	uM	9.44
60	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1	J. Med. Chem.	2004.0	CHEMBL284024	=	=	IC50	nM	42260.0	IC50	uM	42.26
61	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1	J. Med. Chem.	2004.0	CHEMBL25867	=	=	IC50	nM	12580.0	IC50	uM	12.58
62	Inhibitory activity against cytochrome P450 3A4	Cn1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL26678	=	=	IC50	nM	260.0	IC50	uM	0.26
63	Inhibitory activity against cytochrome P450 3A4	CCOC(=O)Cn1c2ccc([N+](=O)[O-])cc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL26039	=	=	IC50	nM	15000.0	IC50	uM	15.0
64	Inhibitory activity against cytochrome P450 3A4	Cn1c2ccnc(Cl)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL418382	=	=	IC50	nM	20030.0	IC50	uM	20.03
65	Inhibitory activity against cytochrome P450 3A4	Cn1c2ccnc(N3CCOCC3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL28629	=	=	IC50	nM	20800.0	IC50	uM	20.8
66	Inhibitory activity against cytochrome P450 3A4	Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL25903	=	=	IC50	nM	1230.0	IC50	uM	1.23
67	Inhibitory activity against cytochrome P450 3A4	Cn1c2cccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL439727	=	=	IC50	nM	31310.0	IC50	uM	31.31
68	Inhibitory activity against cytochrome P450 3A4	Cn1c2ccnc(NCc3ccccn3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL281326	=	=	IC50	nM	18480.0	IC50	uM	18.48
69	Binding affinity for Cytochrome P450 3A4; Range = 1-10 uM	OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL1188	=	=	IC50	nM	10000.0	IC50	uM	10.0
70	Inhibitory activity against cytochrome P450 3A4	CNc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL25731	=	=	IC50	nM	53810.0	IC50	uM	53.81
71	Inhibition of cytochrome P450 3A4 of human liver microsomes	CCOC(=O)n1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL27536			IC50	nM		IC50	uM	
72	Inhibitory activity against cytochrome P450 3A4	Cc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C	J. Med. Chem.	2004.0	CHEMBL27007	>	>	IC50	nM	100000.0	IC50	uM	100.0
73	Inhibitory activity against cytochrome P450 3A4	NC(=O)c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1	J. Med. Chem.	2004.0	CHEMBL283255	=	=	IC50	nM	200.0	IC50	uM	0.2
74	Inhibitory activity against cytochrome P450 3A4	Cc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	J. Med. Chem.	2004.0	CHEMBL26369	=	=	IC50	nM	9250.0	IC50	uM	9.25
75	Inhibitory activity against cytochrome P450 3A4	Cc1cc(C#N)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1	J. Med. Chem.	2004.0	CHEMBL28168	>	>	IC50	nM	100000.0	IC50	uM	100.0
76	Inhibitory activity against cytochrome P450 3A4	COCc1nc(N2CCN(CCc3ccc(F)c(F)c3)CC2)c2c(n1)c1c(Cl)nccc1n2C	J. Med. Chem.	2004.0	CHEMBL25905	=	=	IC50	nM	36820.0	IC50	uM	36.82
77	Inhibitory activity against cytochrome P450 3A4	COc1ccc2c(c1)[nH]c1c(N3CCN(CCc4ccc(F)c(F)c4)CC3)ncnc12	J. Med. Chem.	2004.0	CHEMBL281284	=	=	IC50	nM	1530.0	IC50	uM	1.53
78	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1cccnc1	J. Med. Chem.	2004.0	CHEMBL29631	=	=	IC50	nM	8100.0	IC50	uM	8.1
79	Inhibition of cytochrome P450 3A4 of human liver microsomes	Fc1ccc(CCN2CCN(c3ncnc4c5cnccc5n(Cc5ccccc5)c34)CC2)cc1F	J. Med. Chem.	2004.0	CHEMBL26081			IC50	nM		IC50	uM	
80	Binding affinity for Cytochrome P450 3A4; Range = 1-10 uM	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]	Bioorg. Med. Chem. Lett.	2003.0	CHEMBL193	=	=	IC50	nM	10000.0	IC50	uM	10.0
81	Inhibition of cytochrome P450 3A4 of human liver microsomes	N#Cc1cccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c12	J. Med. Chem.	2004.0	CHEMBL430925			IC50	nM		IC50	uM	
82	Inhibition of cytochrome P450 3A4 of human liver microsomes	O=S(=O)(c1ccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c2c1)N1CCCC1	J. Med. Chem.	2004.0	CHEMBL27128			IC50	nM		IC50	uM	
83	Inhibition of cytochrome P450 3A4 of human liver microsomes	Cn1c2nccc(C#N)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL286948			IC50	nM		IC50	uM	
84	Inhibitory activity against cytochrome P450 3A4	Cn1c2nccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL281496	=	=	IC50	nM	33690.0	IC50	uM	33.69
85	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	J. Med. Chem.	2004.0	CHEMBL282156	=	=	IC50	nM	6620.0	IC50	uM	6.62
86	Inhibitory activity against cytochrome P450 3A4	COc1ccc2c3nc[nH]c(N4CCN(CCc5ccc(F)c(F)c5)CC4)c-3nc2c1[N+](=O)[O-]	J. Med. Chem.	2004.0	CHEMBL281743	=	=	IC50	nM	1790.0	IC50	uM	1.79
87	Inhibition of cytochrome P450 3A4 of human liver microsomes	COc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1[N+](=O)[O-]	J. Med. Chem.	2004.0	CHEMBL27191			IC50	nM		IC50	uM	
88	Inhibitory activity against cytochrome P450 3A4	Cc1cc(C(N)=O)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1	J. Med. Chem.	2004.0	CHEMBL287400	=	=	IC50	nM	210.0	IC50	uM	0.21
89	Inhibition of cytochrome P450 3A4 of human liver microsomes	NC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1	J. Med. Chem.	2004.0	CHEMBL286963			IC50	nM		IC50	uM	
90	Inhibition of cytochrome P450 3A4 of human liver microsomes	O=C(Nc1ccncc1)c1cccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c12	J. Med. Chem.	2004.0	CHEMBL281235			IC50	nM		IC50	uM	
91	Inhibitory activity against cytochrome P450 3A4	Cn1c2ccncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21	J. Med. Chem.	2004.0	CHEMBL430724	=	=	IC50	nM	17850.0	IC50	uM	17.85
92	Inhibition of cytochrome P450 3A4 of human liver microsomes	Nc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12	J. Med. Chem.	2004.0	CHEMBL25972			IC50	nM		IC50	uM	
93	Inhibitory activity against cytochrome P450 3A4	O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2CCc1ccccc1	J. Med. Chem.	2004.0	CHEMBL285343	=	=	IC50	nM	11790.0	IC50	uM	11.79
